,designation,description,productid,imageid
0,Olivia: Personalisiertes Notizbuch / 150 Seiten / Punktraster / Ca Din A5 / Rosen-Design,,3804725264,1263597046
1,Journal Des Arts (Le) N° 133 Du 28/09/2001 - L'art Et Son Marche Salon D'art Asiatique A Paris - Jacques Barrere - Francois Perrier - La Reforme Des Ventes Aux Encheres Publiques - Le Sna Fete Ses Cent Ans.,,436067568,1008141237
2,Grand Stylet Ergonomique Bleu Gamepad Nintendo Wii U - Speedlink Pilot Style,"PILOT STYLE Touch Pen de marque Speedlink est 1 stylet ergonomique pour GamePad Nintendo Wii U.<br> Pour un confort optimal et une précision maximale sur le GamePad de la Wii U: ce grand stylet hautement ergonomique est non seulement parfaitement adapté à votre main mais aussi très élégant.<br> Il est livré avec un support qui se fixe sans adhésif à l'arrière du GamePad<br> <br> Caractéristiques:<br> Modèle: Speedlink PILOT STYLE Touch Pen<br> Couleur: Bleu<br> Ref. Fabricant: SL-3468-BE<br> Compatibilité: GamePad Nintendo Wii U<br> Forme particulièrement ergonomique excellente tenue en main<br> Pointe à revêtement longue durée conçue pour ne pas abîmer l'écran tactile<br> En bonus : Support inclu pour GamePad<br> <span class=""vga_style2""><b></b><br>",201115110,938777978
3,Peluche Donald - Europe - Disneyland 2000 (Marionnette À Doigt),,50418756,457047496
4,La Guerre Des Tuques,Luc a des id&eacute;es de grandeur. Il veut organiser un jeu de guerre de boules de neige et s'arranger pour en &ecirc;tre le vainqueur incontest&eacute;. Mais Sophie s'en m&ecirc;le et chambarde tous ses plans...,278535884,1077757786
5,Afrique Contemporaine N° 212 Hiver 2004 - Dossier Japon / Afrique,,5862738,393356830
6,Christof E: Bildungsprozessen Auf Der Spur,,91920807,907794536
7,Conquérant Sept Cahier Couverture Polypro 240 X 320 Mm 96 Pages 90g Seyès Incolore,CONQUERANT CLASSIQUE Cahier 240 x 320 mm seyès incolorecouverture en Polypro 96 pages agrafé papier de 90 g/m2(400006764),344240059,999581347
8,Puzzle Scooby-Doo Avec Poster 2x35 Pieces,,4239126071,1325918866
9,Tente Pliante V3s5-Pro Pvc Blanc - 3 X 4m50 - Longueur : 4m50 Largeur : 3 M Blanc H,Tente pliante V3S5 Pro PVC 500 gr/m² - 3 x 4m50.Que vous soyez un particulier pour votre jardin ou un professionnel pour stand commercial ou pour vos réceptions le barnum V3S5 Pro de 135 m² sera vous combler.Imaginez un <strong>stand</strong> robuste léger adaptable à chacun pliable et peu encombrant... Le déploiement ultra-rapide et le réglage de la hauteur se font maintenant via des poignées d&#39;indexage. Nous avons également entièrement repensé les pièces de jonction et les coulissants : plus rigides et légères elles sont aussi maintenant 30% plus résistantes.  la <strong>tente pliante</strong> V3 Pro de <strong>qualité professionnelle </strong>et de<strong> fabrication française </strong>est complètement adaptable et deviendra l&#39;outil indispensable à votre activité. Toujours en vue d&#39;améliorer votre quotidien cette version du V3 se veut encore plus résistante au temps.Un traitement <strong>ignifugé </strong>répond aux exigences de sécurité en vigueur (certifié M2) et sa facilité d&#39;entretien en fait un allié pour toutes les occasions.Le produit de base est composé d&#39;une structure d&#39;un toit en bâche PVC 500 gr/m² et d&#39;une housse. Après à vous de configurer vos <strong>façades</strong> comme vous le souhaitez.Avantages<ul><li>Facile à monter</li><li>Traitement anti feu</li><li>Façades aux choix</li><li><strong>Caractéristiques</strong></li><li>Coloris blanc</li><li>PVC blanc 500 gr/m² ignifugé M2</li><li>Indexation via poignées : blocage du stand sans effort.</li><li>3 Hauteurs réglables via indexeurs.</li><li>Croisillons : 1 renfort interne et 2 renforts externes inox.</li><li>Embases : fonte d&#39;aluminium (10 mm).</li><li>Anneaux d&#39;haubanage.</li><li>Structure 100 % Aluminium / visserie en INOX.</li><li>Pièces de jonctions renforcées (polypropylène &#43; 30% fibre de verre) </li><li>Fils haute ténacité hydrofuges</li><li>Pied coulissant et système de guidage intégré</li><li>Pieds hexagonaux en aluminium (épaisseur 2 mm) </li><li>Renforts de toit PVC</li><li>Finition du toit intégrant un biais sergé </li><li>Auto agrippant 50 mm </li><li>Maintien du toit par auto agrippants</li><li>Encombrement refermé inférieur à 1m²</li><li>Dimensions</li><li>3 x 4m50</li><li>2 mâts</li><li>Hauteur du faîtage 3m10 à 3m26</li><li>Hauteur sous bandeau 1m95 à 2m11</li><li>Dimensions repliées 035 x 050 x 158m</li></ul>,3793572222,1245644185
